timestamp_ns,open,high,low,close,volume
1787888700000000000,4045.00,4060.00,4043.50,4047.50,18095
1787888760000000000,4049.20,4055.40,4046.10,4049.30,6236
1787888820000000000,4050.00,4054.40,4049.10,4052.40,5554
1787888880000000000,4052.40,4054.40,4046.60,4049.00,4786
1787888940000000000,4049.90,4051.60,4046.30,4047.60,2371
1787889000000000000,4048.60,4048.60,4045.10,4047.00,2507
1787889060000000000,4047.00,4048.00,4043.30,4045.60,3000
1787889120000000000,4046.00,4046.40,4041.80,4042.00,4060
1787889180000000000,4042.50,4044.40,4041.00,4041.50,1725
1787889240000000000,4041.50,4048.40,4041.40,4047.50,4701
1787889300000000000,4048.40,4057.50,4047.50,4056.00,3769
1787889360000000000,4057.50,4059.20,4053.20,4056.00,2923
1787889420000000000,4056.40,4058.30,4054.10,4058.00,2664
1787889480000000000,4057.90,4058.00,4051.80,4051.80,2718
1787889540000000000,4052.00,4054.20,4050.50,4054.20,1507
1787889600000000000,4053.10,4054.10,4051.00,4054.10,1946
1787889660000000000,4054.10,4054.50,4052.00,4052.50,511
1787889720000000000,4053.10,4055.90,4052.90,4054.40,1922
1787889780000000000,4054.40,4055.90,4053.60,4055.50,1084
1787889840000000000,4055.50,4056.00,4053.60,4053.80,2854
1787889900000000000,4054.50,4055.90,4053.60,4054.00,1009
1787889960000000000,4054.90,4054.90,4052.20,4052.90,2048
1787890020000000000,4052.90,4053.00,4050.20,4053.00,1060
1787890080000000000,4053.00,4053.30,4050.00,4050.40,1258
1787890140000000000,4050.40,4053.50,4050.00,4051.70,563
1787890200000000000,4051.50,4053.90,4050.00,4053.30,914
1787890260000000000,4053.20,4053.60,4051.00,4052.00,918
1787890320000000000,4052.20,4052.80,4051.00,4051.70,350
1787890380000000000,4052.20,4053.70,4048.40,4049.00,3756
1787890440000000000,4049.30,4049.70,4048.20,4048.20,588
1787890500000000000,4049.00,4049.70,4048.00,4048.20,488
1787890560000000000,4048.70,4049.10,4048.00,4049.10,699
1787890620000000000,4048.90,4048.90,4047.30,4047.30,630
1787890680000000000,4047.90,4049.10,4047.80,4048.80,282
1787890740000000000,4048.80,4048.80,4045.70,4048.20,770
1787890800000000000,4047.70,4048.80,4046.00,4048.00,614
1787890860000000000,4047.40,4047.90,4046.00,4047.00,481
1787890920000000000,4046.90,4048.00,4045.50,4047.60,830
1787890980000000000,4048.00,4049.90,4047.30,4048.70,710
1787891040000000000,4049.00,4053.20,4048.50,4052.40,1268
1787891100000000000,4052.90,4052.90,4051.10,4051.30,296
1787891160000000000,4051.70,4051.80,4050.40,4050.50,418
1787891220000000000,4050.50,4050.50,4047.60,4047.80,998
1787891280000000000,4047.80,4050.00,4047.80,4049.30,406
1787891340000000000,4049.70,4050.30,4049.00,4049.80,526
1787891400000000000,4049.70,4049.80,4048.00,4048.00,509
1787891460000000000,4048.50,4050.00,4048.00,4048.00,731
1787891520000000000,4049.40,4049.40,4046.60,4047.80,1052
1787891580000000000,4047.80,4049.60,4047.30,4048.60,394
1787891640000000000,4048.60,4049.10,4047.50,4047.50,387
1787891700000000000,4047.70,4048.00,4046.30,4047.00,215
1787891760000000000,4047.10,4048.40,4045.70,4046.90,1083
1787891820000000000,4047.90,4050.00,4046.60,4049.20,241
1787891880000000000,4050.00,4051.10,4048.30,4050.80,485
1787891940000000000,4051.00,4051.20,4049.40,4050.00,255
1787892000000000000,4050.00,4050.00,4048.20,4048.20,580
1787892060000000000,4050.00,4050.10,4049.50,4050.10,270
1787892120000000000,4050.10,4051.70,4048.90,4048.90,561
1787892180000000000,4048.70,4050.50,4048.00,4049.60,223
1787892240000000000,4049.60,4051.50,4048.80,4051.50,449
1787892300000000000,4051.50,4053.10,4050.70,4052.00,1117
1787892360000000000,4051.90,4052.40,4049.90,4052.40,1774
1787892420000000000,4052.10,4053.00,4050.00,4050.40,825
1787892480000000000,4050.40,4050.40,4047.80,4047.80,804
1787892540000000000,4047.80,4048.00,4045.30,4045.30,821
1787892600000000000,4046.00,4048.00,4045.10,4048.00,499
1787892660000000000,4047.30,4047.30,4045.90,4045.90,286
1787892720000000000,4046.90,4047.00,4045.10,4046.90,624
1787892780000000000,4046.90,4048.40,4045.10,4046.00,932
1787892840000000000,4048.20,4048.50,4045.30,4046.40,608
1787892900000000000,4046.80,4046.80,4044.20,4044.80,1508
1787892960000000000,4045.60,4046.00,4044.20,4045.00,620
1787893020000000000,4045.70,4046.00,4044.00,4045.00,527
1787893080000000000,4045.00,4045.50,4044.00,4045.50,498
1787893140000000000,4045.00,4045.50,4044.00,4045.40,300
1787893200000000000,4045.40,4045.40,4042.70,4042.70,559
1787893260000000000,4043.70,4044.20,4042.00,4042.60,666
1787893320000000000,4043.10,4044.00,4042.20,4043.00,643
1787893380000000000,4043.00,4043.00,4042.00,4043.00,477
1787893440000000000,4043.00,4043.00,4042.00,4043.00,429
1787893500000000000,4043.00,4043.00,4041.10,4042.40,519
1787893560000000000,4042.40,4043.00,4041.00,4042.80,1330
1787893620000000000,4043.00,4043.00,4041.80,4042.70,554
1787893680000000000,4043.00,4043.60,4041.10,4042.20,498
1787893740000000000,4042.80,4044.30,4041.50,4043.10,846
1787893800000000000,4043.50,4044.20,4041.30,4043.20,769
1787893860000000000,4043.30,4044.40,4041.50,4042.50,439
1787893920000000000,4043.00,4043.20,4041.10,4042.00,667
1787893980000000000,4041.70,4042.70,4041.00,4042.70,559
1787894040000000000,4041.90,4043.10,4041.00,4042.40,516
1787894100000000000,4042.40,4043.10,4041.00,4042.50,756
1787894160000000000,4042.50,4042.50,4040.00,4040.60,1228
1787894220000000000,4040.40,4043.80,4040.40,4043.10,481
1787894280000000000,4043.10,4044.20,4040.40,4040.40,1088
1787894340000000000,4042.30,4045.00,4041.60,4045.00,621
1787894400000000000,4044.40,4046.90,4043.60,4046.40,6245
1787894460000000000,4045.90,4050.10,4044.80,4045.00,20434
1787894520000000000,4044.90,4045.60,4039.70,4042.00,12100
1787894580000000000,4041.30,4042.40,4038.90,4038.90,2070
1787894640000000000,4038.80,4038.90,4037.50,4037.50,505
1787894700000000000,4038.40,4038.60,4037.00,4037.90,498
1787894760000000000,4037.50,4038.00,4035.40,4036.00,3015
1787894820000000000,4035.90,4043.90,4035.00,4040.00,15138
1787894880000000000,4039.60,4046.20,4039.60,4045.70,2692
1787894940000000000,4045.00,4045.30,4041.60,4043.00,1465
1787895000000000000,4043.40,4044.00,4041.00,4041.60,600
1787895060000000000,4041.60,4042.00,4036.60,4039.90,2010
1787895120000000000,4039.20,4040.00,4037.10,4037.70,345
1787895180000000000,4037.90,4039.30,4036.60,4037.90,479
1787895240000000000,4037.30,4038.80,4036.50,4038.80,754
1787895300000000000,4038.30,4039.10,4037.70,4039.00,398
1787895360000000000,4038.40,4040.00,4037.70,4038.50,419
1787895420000000000,4038.10,4038.50,4037.00,4037.10,1065
1787895480000000000,4037.10,4038.10,4036.00,4036.30,492
1787895540000000000,4036.80,4037.50,4035.10,4035.40,445
1787895600000000000,4035.40,4037.60,4035.10,4036.00,583
1787895660000000000,4037.30,4037.90,4035.40,4037.50,423
1787895720000000000,4037.60,4038.30,4035.90,4038.30,352
1787895780000000000,4038.40,4039.90,4037.10,4037.90,2144
1787895840000000000,4038.30,4040.00,4037.20,4037.80,1096
1787895900000000000,4038.50,4039.10,4036.80,4038.60,1256
1787895960000000000,4038.60,4038.60,4036.00,4038.00,291
1787896020000000000,4038.10,4038.20,4036.10,4037.20,346
1787896080000000000,4037.20,4037.80,4036.00,4037.20,437
1787896140000000000,4037.00,4040.00,4036.80,4038.90,12699
1787896200000000000,4038.90,4039.10,4035.00,4035.00,3081
1787896260000000000,4035.10,4036.00,4035.00,4036.00,477
1787896320000000000,4036.00,4036.00,4031.70,4035.50,2211
1787896380000000000,4036.00,4037.90,4034.50,4036.40,673
1787896440000000000,4035.90,4038.90,4035.10,4038.90,1080
1787896500000000000,4038.90,4039.90,4037.20,4039.20,857
1787896560000000000,4039.20,4040.00,4037.10,4038.20,1179
1787896620000000000,4038.20,4039.60,4037.20,4038.00,551
1787896680000000000,4039.00,4039.80,4037.80,4039.50,892
1787896740000000000,4039.30,4042.00,4038.70,4039.50,12292
1787896800000000000,4039.50,4041.90,4037.70,4041.40,688
1787896860000000000,4041.40,4041.50,4038.00,4039.80,655
1787896920000000000,4039.70,4041.00,4037.00,4039.40,493
1787896980000000000,4039.20,4039.50,4035.00,4035.30,792
1787897040000000000,4035.30,4039.30,4033.90,4038.90,4954
1787897100000000000,4039.20,4040.30,4033.60,4033.60,19823
1787897160000000000,4035.30,4035.30,4033.50,4034.70,508
1787897220000000000,4034.70,4036.80,4033.80,4036.50,839
1787897280000000000,4036.40,4036.70,4034.40,4036.00,372
1787897340000000000,4036.10,4036.50,4032.00,4034.10,1255
1787897400000000000,4034.10,4034.60,4032.00,4034.40,500
1787897460000000000,4034.40,4036.10,4033.10,4035.40,504
1787897520000000000,4035.30,4036.00,4032.90,4034.80,1124
1787897580000000000,4034.70,4034.70,4032.60,4033.00,878
1787897640000000000,4033.30,4035.00,4032.80,4034.40,563
1787897700000000000,4034.40,4034.40,4032.00,4032.00,561
1787897760000000000,4033.20,4035.90,4031.60,4035.60,1055
1787897820000000000,4035.60,4036.40,4035.00,4036.20,588
1787897880000000000,4036.40,4036.80,4035.00,4036.40,713
1787897940000000000,4036.20,4036.80,4036.00,4036.70,1010
1787898000000000000,4036.70,4037.80,4036.00,4037.50,2401
1787898060000000000,4037.50,4037.50,4036.20,4036.50,602
1787898120000000000,4036.70,4036.80,4036.50,4036.80,410
1787898180000000000,4036.80,4037.10,4036.50,4037.00,1712
1787898240000000000,4037.10,4037.50,4035.00,4036.00,3505
1787898300000000000,4036.40,4036.40,4035.50,4036.20,6895
1787898360000000000,4036.20,4037.00,4035.00,4036.00,5650
1787898420000000000,4036.00,4036.40,4031.30,4031.60,3784
1787898480000000000,4032.00,4033.80,4031.60,4032.80,874
1787898540000000000,4033.00,4033.00,4030.60,4031.00,2279
1787898600000000000,4031.40,4031.40,4030.00,4030.60,1189
1787898660000000000,4030.60,4032.90,4030.60,4031.00,682
1787898720000000000,4032.70,4032.90,4031.00,4031.10,915
1787898780000000000,4032.20,4032.20,4030.00,4030.60,1631
1787898840000000000,4031.70,4033.80,4030.20,4033.10,1686
1787898900000000000,4033.10,4033.80,4030.00,4031.20,2215
1787898960000000000,4031.20,4033.20,4030.40,4033.00,514
1787899020000000000,4033.00,4033.80,4031.70,4033.50,547
1787899080000000000,4033.30,4034.70,4030.80,4032.40,119259
1787899140000000000,4032.40,4033.50,4031.30,4032.00,626
1787899200000000000,4032.00,4032.90,4031.10,4032.40,1055
1787899260000000000,4032.40,4033.20,4031.00,4031.30,373
1787899320000000000,4031.30,4033.00,4031.00,4033.00,441
1787899380000000000,4032.90,4033.00,4031.40,4033.00,279
1787899440000000000,4033.00,4033.00,4031.60,4033.00,396
1787899500000000000,4033.00,4033.40,4032.00,4033.40,459
1787899560000000000,4034.40,4034.50,4032.50,4033.60,529
1787899620000000000,4033.60,4034.70,4032.50,4034.70,617
1787899680000000000,4034.60,4036.00,4033.50,4036.00,1137
1787899740000000000,4036.00,4037.90,4035.50,4036.00,2729
1787899800000000000,4036.00,4038.20,4035.30,4038.00,2030
1787899860000000000,4038.00,4041.00,4035.40,4040.00,10469
1787899920000000000,4040.90,4040.90,4035.60,4037.60,18303
1787899980000000000,4037.90,4039.90,4035.90,4037.10,2329
1787900040000000000,4037.10,4037.10,4034.30,4035.00,569
1787900100000000000,4035.00,4037.60,4033.80,4037.20,854
1787900160000000000,4037.20,4038.90,4036.00,4038.30,698
1787900220000000000,4038.30,4038.70,4036.60,4038.50,648
1787900280000000000,4038.50,4038.70,4036.60,4037.40,418
1787900340000000000,4037.40,4038.10,4036.60,4037.00,516
1787900400000000000,4038.10,4038.70,4036.40,4038.10,1012
1787900460000000000,4037.90,4039.10,4036.80,4039.10,762
1787900520000000000,4039.10,4040.00,4038.00,4040.00,804
1787900580000000000,4040.00,4040.00,4038.50,4039.50,672
1787900640000000000,4039.40,4040.00,4038.50,4039.60,1530
1787900700000000000,4040.00,4040.60,4038.30,4040.00,1494
1787900760000000000,4040.00,4042.00,4038.70,4040.00,9289
1787900820000000000,4040.00,4041.90,4039.00,4039.50,782
1787900880000000000,4039.50,4041.50,4039.00,4040.00,386
1787900940000000000,4041.10,4041.30,4039.70,4039.70,449
1787901000000000000,4040.30,4042.20,4039.80,4039.90,1018
1787901060000000000,4041.60,4042.10,4040.00,4041.20,972
1787901120000000000,4041.40,4041.40,4039.80,4039.90,502
1787901180000000000,4040.00,4040.00,4039.00,4039.10,1508
1787901240000000000,4040.00,4040.40,4039.10,4040.00,333
1787901300000000000,4039.90,4040.20,4038.50,4038.70,765
1787901360000000000,4040.00,4040.50,4039.50,4040.30,894
1787901420000000000,4040.50,4040.50,4038.60,4040.00,531
1787901480000000000,4040.50,4040.50,4038.70,4039.80,435
1787901540000000000,4040.00,4040.20,4039.00,4040.20,361
1787901600000000000,4040.20,4040.40,4038.70,4040.00,692
1787901660000000000,4040.20,4040.50,4038.60,4039.60,560
1787901720000000000,4039.80,4040.30,4038.50,4038.90,729
1787901780000000000,4040.20,4040.50,4039.00,4040.50,675
1787901840000000000,4040.50,4040.50,4038.70,4040.50,562
1787901900000000000,4040.50,4040.50,4038.50,4040.00,557
1787901960000000000,4040.00,4040.50,4038.60,4040.00,1112
1787902020000000000,4040.00,4040.50,4038.50,4040.50,2571
1787902080000000000,4040.00,4040.50,4038.50,4040.30,700
1787902140000000000,4040.30,4040.40,4038.50,4038.70,767
1787902200000000000,4040.00,4040.50,4038.60,4040.00,1063
1787902260000000000,4040.00,4040.50,4027.00,4028.70,9850
1787902320000000000,4028.60,4033.10,4027.00,4028.20,3546
1787902380000000000,4028.20,4033.20,4026.60,4031.90,5164
1787902440000000000,4031.00,4032.60,4027.40,4028.40,2600
1787902500000000000,4028.40,4028.80,4021.30,4024.80,25930
1787902560000000000,4024.80,4029.40,4024.20,4028.10,6277
1787902620000000000,4028.50,4030.50,4028.00,4030.50,1225
1787902680000000000,4030.50,4031.50,4028.80,4030.40,1874
1787902740000000000,4030.50,4034.70,4029.20,4033.40,986
1787902800000000000,4033.40,4034.00,4031.80,4033.50,799
1787902860000000000,4033.50,4033.80,4031.80,4033.80,653
1787902920000000000,4034.60,4034.70,4030.90,4033.00,851
1787902980000000000,4033.00,4034.20,4032.00,4033.00,558
1787903040000000000,4033.00,4033.00,4031.90,4031.90,553
1787903100000000000,4032.00,4032.60,4030.60,4032.40,971
1787903160000000000,4032.40,4032.50,4031.00,4031.90,786
1787903220000000000,4031.90,4031.90,4029.20,4030.00,4455
1787903280000000000,4030.00,4030.50,4026.00,4026.80,3317
1787903340000000000,4028.30,4028.90,4027.20,4028.00,706
1787903400000000000,4028.30,4028.90,4026.90,4028.90,531
1787903460000000000,4028.90,4028.90,4027.40,4028.90,413
1787903520000000000,4029.00,4030.00,4027.80,4030.00,535
1787903580000000000,4030.00,4031.10,4028.00,4030.00,1402
1787903640000000000,4030.50,4035.00,4029.10,4030.30,41744
1787903700000000000,4031.70,4031.80,4029.20,4030.00,2317
1787903760000000000,4030.00,4030.00,4028.60,4029.80,559
