timestamp_ns,open,high,low,close,volume
1787024700000000000,1124.50,1131.90,1118.00,1127.00,224522
1787024760000000000,1127.00,1127.30,1122.40,1122.80,74971
1787024820000000000,1123.00,1124.50,1121.30,1122.50,59494
1787024880000000000,1122.50,1122.50,1120.30,1121.50,44782
1787024940000000000,1121.80,1123.00,1120.30,1120.40,51227
1787025000000000000,1120.90,1122.90,1120.40,1122.30,29852
1787025060000000000,1122.50,1124.00,1122.00,1123.70,29946
1787025120000000000,1123.80,1123.80,1121.20,1121.30,42819
1787025180000000000,1121.80,1122.30,1120.50,1121.20,23912
1787025240000000000,1121.40,1122.00,1120.60,1121.50,66192
1787025300000000000,1121.90,1122.40,1121.40,1122.30,13506
1787025360000000000,1122.40,1123.40,1122.30,1123.00,14753
1787025420000000000,1123.00,1123.20,1122.10,1122.40,21884
1787025480000000000,1122.40,1122.40,1119.20,1120.10,83223
1787025540000000000,1120.50,1120.60,1119.50,1119.70,19763
1787025600000000000,1120.00,1120.00,1119.20,1119.70,28096
1787025660000000000,1119.70,1120.50,1119.30,1120.00,16397
1787025720000000000,1120.20,1120.20,1119.10,1120.00,10244
1787025780000000000,1120.00,1120.20,1118.50,1118.50,41955
1787025840000000000,1118.70,1119.50,1118.50,1119.20,18689
1787025900000000000,1119.20,1120.00,1119.00,1119.50,15339
1787025960000000000,1119.80,1121.40,1119.50,1120.80,14765
1787026020000000000,1120.90,1122.90,1120.70,1121.50,26441
1787026080000000000,1121.60,1122.10,1119.40,1119.40,33453
1787026140000000000,1119.50,1120.00,1118.30,1118.30,35580
1787026200000000000,1118.50,1119.00,1118.30,1118.80,8916
1787026260000000000,1118.80,1119.00,1118.20,1118.30,19426
1787026320000000000,1118.70,1118.90,1118.20,1118.90,12447
1787026380000000000,1118.90,1120.30,1118.70,1120.00,10577
1787026440000000000,1120.20,1120.70,1119.40,1120.00,23072
1787026500000000000,1120.40,1120.80,1119.70,1120.10,63606
1787026560000000000,1120.40,1121.30,1118.00,1118.00,35821
1787026620000000000,1118.30,1119.00,1117.00,1118.70,120766
1787026680000000000,1118.80,1119.60,1118.20,1119.60,8943
1787026740000000000,1119.60,1120.10,1119.30,1119.50,9184
1787026800000000000,1119.50,1119.50,1118.20,1119.00,10675
1787026860000000000,1119.00,1119.30,1118.60,1118.80,12338
1787026920000000000,1118.90,1120.00,1118.60,1119.90,9285
1787026980000000000,1119.90,1121.00,1119.50,1121.00,13324
1787027040000000000,1120.70,1121.40,1120.10,1120.40,19300
1787027100000000000,1120.40,1121.00,1119.70,1120.00,8338
1787027160000000000,1119.90,1120.30,1119.40,1120.20,5553
1787027220000000000,1120.20,1120.20,1119.30,1119.50,4197
1787027280000000000,1119.50,1119.70,1119.00,1119.30,7951
1787027340000000000,1119.30,1119.50,1119.00,1119.40,7673
1787027400000000000,1119.40,1119.80,1119.00,1119.80,14322
1787027460000000000,1119.80,1119.80,1119.20,1119.20,6373
1787027520000000000,1119.20,1119.30,1118.40,1118.90,20786
1787027580000000000,1119.20,1119.30,1118.70,1118.80,8512
1787027640000000000,1118.80,1119.60,1118.70,1119.40,17070
1787027700000000000,1119.40,1119.60,1118.80,1119.60,12233
1787027760000000000,1119.60,1119.70,1118.90,1119.30,6050
1787027820000000000,1119.30,1119.80,1119.00,1119.60,8159
1787027880000000000,1119.60,1119.60,1119.00,1119.10,2857
1787027940000000000,1119.10,1119.10,1118.30,1118.70,3932
1787028000000000000,1118.70,1118.90,1118.40,1118.60,6332
1787028060000000000,1118.80,1119.00,1118.40,1118.50,3406
1787028120000000000,1118.80,1118.80,1118.10,1118.30,9231
1787028180000000000,1118.50,1118.60,1118.10,1118.50,5432
1787028240000000000,1118.50,1119.00,1118.10,1118.70,11909
1787028300000000000,1119.10,1119.50,1118.50,1119.20,7383
1787028360000000000,1119.40,1119.70,1119.30,1119.50,9911
1787028420000000000,1119.50,1119.60,1119.00,1119.50,6717
1787028480000000000,1119.50,1120.10,1119.10,1119.30,17319
1787028540000000000,1119.40,1119.40,1119.00,1119.30,7558
1787028600000000000,1119.20,1119.70,1119.10,1119.70,6160
1787028660000000000,1119.70,1120.00,1119.20,1119.90,10886
1787028720000000000,1119.90,1120.50,1119.70,1119.90,18611
1787028780000000000,1119.90,1120.00,1119.50,1119.60,14951
1787028840000000000,1120.00,1120.50,1119.30,1120.00,27146
1787028900000000000,1119.60,1120.00,1119.00,1119.50,13035
1787028960000000000,1119.50,1120.00,1119.30,1120.00,12744
1787029020000000000,1120.00,1120.00,1119.60,1120.00,12845
1787029080000000000,1120.00,1120.10,1119.60,1120.00,26950
1787029140000000000,1120.00,1122.30,1119.70,1121.40,161085
1787029200000000000,1121.20,1121.40,1119.60,1121.20,43351
1787029260000000000,1121.10,1122.60,1120.70,1122.20,29930
1787029320000000000,1122.30,1122.30,1120.50,1120.70,18713
1787029380000000000,1120.80,1121.90,1120.70,1121.60,6303
1787029440000000000,1121.60,1122.30,1121.50,1121.80,19464
1787029500000000000,1121.90,1122.20,1121.60,1121.80,34735
1787029560000000000,1121.90,1122.00,1121.20,1121.60,19381
1787029620000000000,1121.60,1121.80,1121.00,1121.00,7009
1787029680000000000,1121.10,1121.90,1120.50,1120.80,36130
1787029740000000000,1120.80,1121.10,1120.20,1120.40,10248
1787029800000000000,1120.40,1120.50,1119.60,1119.80,16581
1787029860000000000,1119.80,1121.00,1119.60,1120.50,17644
1787029920000000000,1120.50,1120.80,1120.00,1120.30,6629
1787029980000000000,1120.30,1120.40,1119.60,1119.70,18000
1787030040000000000,1119.70,1120.10,1118.50,1118.60,32504
1787030100000000000,1118.70,1119.60,1117.80,1119.10,115973
1787030160000000000,1119.10,1120.00,1118.90,1119.80,12141
1787030220000000000,1120.00,1120.00,1118.80,1118.90,14712
1787030280000000000,1119.10,1119.70,1118.70,1119.60,8219
1787030340000000000,1119.60,1119.60,1119.00,1119.50,2647
1787030400000000000,1119.50,1120.20,1119.40,1119.80,34420
1787030460000000000,1119.60,1119.90,1119.00,1119.40,8236
1787030520000000000,1119.50,1119.90,1119.30,1119.60,8595
1787030580000000000,1119.70,1119.70,1118.30,1118.30,17226
1787030640000000000,1118.40,1118.40,1117.50,1117.60,16784
1787030700000000000,1117.60,1117.80,1116.30,1116.70,48267
1787030760000000000,1116.80,1116.90,1116.40,1116.60,10192
1787030820000000000,1116.60,1117.60,1116.40,1117.40,17685
1787030880000000000,1117.40,1117.80,1117.20,1117.50,13125
1787030940000000000,1117.50,1117.70,1117.00,1117.40,8250
1787031000000000000,1117.70,1117.90,1117.30,1117.50,9189
1787031060000000000,1117.50,1117.50,1116.80,1117.20,12004
1787031120000000000,1117.20,1117.30,1116.80,1117.00,5974
1787031180000000000,1117.30,1117.50,1117.00,1117.30,5132
1787031240000000000,1117.50,1117.90,1117.30,1117.60,8343
1787031300000000000,1117.70,1117.90,1117.30,1117.60,6849
1787031360000000000,1117.70,1117.90,1117.00,1117.40,10074
1787031420000000000,1117.10,1117.40,1117.00,1117.10,5940
1787031480000000000,1117.20,1117.40,1116.40,1116.70,13336
